Datetime,Temperature
6/17/2024 20:00,21.8
6/17/2024 21:00,19.5
6/17/2024 22:00,19.6
6/17/2024 23:00,19.5
6/18/2024 0:00,20.1
6/18/2024 1:00,21.1
6/18/2024 2:00,19.3
6/18/2024 3:00,18.8
6/18/2024 4:00,18.2
6/18/2024 5:00,17.5
6/18/2024 6:00,19.3
6/18/2024 7:00,21.5
6/18/2024 8:00,21.9
6/18/2024 9:00,21.6
6/18/2024 10:00,23.8
6/18/2024 11:00,20.2
6/18/2024 12:00,18.4
6/18/2024 13:00,19.7
6/18/2024 14:00,19.5
6/18/2024 15:00,19.9
6/18/2024 16:00,18.3
6/18/2024 17:00,17.2
6/18/2024 18:00,16.4
6/18/2024 19:00,16
6/18/2024 20:00,16.2
6/18/2024 21:00,16.5
6/18/2024 22:00,16
6/18/2024 23:00,15.6
6/19/2024 0:00,15.5
6/19/2024 1:00,14.8
6/19/2024 2:00,12.8
6/19/2024 3:00,12.5
6/19/2024 4:00,12.4
6/19/2024 5:00,12.8
6/19/2024 6:00,12.7
6/19/2024 7:00,13.2
6/19/2024 8:00,13.3
6/19/2024 9:00,12.3
6/19/2024 10:00,12.8
6/19/2024 11:00,14.2
6/19/2024 12:00,13.5
6/19/2024 13:00,13.4
6/19/2024 14:00,14.7
6/19/2024 15:00,13.4
6/19/2024 16:00,14
6/19/2024 17:00,13.3
6/19/2024 18:00,13.6
6/19/2024 19:00,13.2
6/19/2024 20:00,12.7
6/19/2024 21:00,12.5
6/19/2024 22:00,12.2
6/19/2024 23:00,12.1
6/20/2024 0:00,11.9
6/20/2024 1:00,11.4
6/20/2024 2:00,12
6/20/2024 3:00,12.5
6/20/2024 4:00,13
6/20/2024 5:00,13.9
6/20/2024 6:00,14.3
6/20/2024 7:00,15.1
6/20/2024 8:00,17.2
6/20/2024 9:00,15.7
6/20/2024 10:00,16.3
6/20/2024 11:00,16.5
6/20/2024 12:00,17.8
6/20/2024 13:00,17.3
6/20/2024 14:00,17.3
6/20/2024 15:00,15.6
6/20/2024 16:00,16.3
6/20/2024 17:00,16.7
6/20/2024 18:00,16.5
6/20/2024 19:00,15.4
6/20/2024 20:00,15.3
6/20/2024 21:00,15.3
6/20/2024 22:00,15.1
6/20/2024 23:00,15
6/21/2024 0:00,15.9
